Customer_Name,Province,Region,Customer_Segment,Cust_id,Phone_Number,Email,Ord_id,Prod_id,Ship_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Order_ID,Order_Date,Order_Priority,Product_Category,Product_Sub_Category,Ship_Mode,Ship_Date
GUY PHONELY,ONTARIO,ONTARIO,CORPORATE,Cust_1012,+1-519-555-158,parrt@sbcglobal.net,Ord_781,Prod_1,SHP_3671,1160.59,0.01,13,-330.14,35,0.83,28225,22-01-2009,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,24-01-2009
STEVE NGUYEN,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1015,+1-519-555-173,roesch@live.com,Ord_2800,Prod_1,SHP_3854,8127.32,0.01,42,1141.07,19.99,0.71,53476,11/6/2009,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,EXPRESS AIR,11/6/2009
VIVEK GRADY,ONTARIO,ONTARIO,HOME OFFICE,Cust_1016,519-555-0171,chrisk@yahoo.ca,Ord_2780,Prod_1,SHP_3819,2014.13,0.1,24,-794.94,35,0.83,50017,20-11-2012,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,20-11-2012
KAREN DANIELS,ONTARIO,ONTARIO,CONSUMER,Cust_1018,519-555-0119,tkrotchko@me.com,Ord_2815,Prod_1,SHP_3876,950.3,0.1,44,-2103.05,53.03,0.78,56580,14-08-2011,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,DELIVERY TRUCK,16-08-2011
KAREN DANIELS,ONTARIO,ONTARIO,CONSUMER,Cust_1018,519-555-0119,tkrotchko@me.com,Ord_2815,Prod_11,SHP_3876,8122.53,0.05,29,-693.23,61.76,0.78,56580,14-08-2011,NOT SPECIFIED,FURNITURE,TABLES,DELIVERY TRUCK,16-08-2011
KATHERINE NOCKTON,ONTARIO,ONTARIO,HOME OFFICE,Cust_1020,519-555-0114,sinkou@icloud.com,Ord_2629,Prod_1,SHP_3596,2421.44,0.09,32,-949.09,35,0.83,13761,17-10-2009,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,21-10-2009
LAURA ARMSTRONG,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1024,+1-519-555-119,mfleming@msn.com,Ord_2646,Prod_1,SHP_3619,816.23,0.05,12,-353.71,35,0.8,18465,15-04-2010,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,17-04-2010
LAURA ARMSTRONG,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1024,+1-519-555-119,mfleming@msn.com,Ord_2801,Prod_1,SHP_3855,6255.81,0.01,43,693.26,19.99,0.73,53671,10/6/2011,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,11/6/2011
LAURA ARMSTRONG,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1024,+1-519-555-119,mfleming@msn.com,Ord_2801,Prod_3,SHP_3855,236.68,0.08,41,-82.79,5.01,0.39,53671,10/6/2011,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR,11/6/2011
LAURA ARMSTRONG,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1024,+1-519-555-119,mfleming@msn.com,Ord_2801,Prod_3,SHP_3855,616.5,0.02,39,25.99,8.4,0.39,53671,10/6/2011,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,REGULAR AIR,11/6/2011
CATHY PRESCOTT,ONTARIO,ONTARIO,CORPORATE,Cust_1027,+1-519-555-112,bjornk@outlook.com,Ord_2673,Prod_1,SHP_3661,21337.27,0.02,49,7606,19.99,0.58,26565,21-10-2009,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,22-10-2009
STEPHANIE ULPRIGHT,ONTARIO,ONTARIO,CONSUMER,Cust_1029,519-555-0106,noodles@icloud.com,Ord_2789,Prod_1,SHP_3833,958.06,0.09,6,-77.09,19.99,0.59,51619,2/9/2009,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,3/9/2009
STEPHANIE ULPRIGHT,ONTARIO,ONTARIO,CONSUMER,Cust_1029,519-555-0106,noodles@icloud.com,Ord_2789,Prod_13,SHP_3833,100.6,0.03,46,11.55,1,0.38,51619,2/9/2009,NOT SPECIFIED,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR,3/9/2009
ODELLA NELSON,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1030,519-555-0131,pgottsch@icloud.com,Ord_2746,Prod_1,SHP_3767,22.61,0.03,1,-8.4,7.51,0.57,40997,21-04-2009,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,23-04-2009
TODD SUMRALL,ONTARIO,ONTARIO,CONSUMER,Cust_1035,+1-519-555-106,treeves@live.com,Ord_2796,Prod_1,SHP_3844,317.82,0.02,8,-33.09,12.9,0.57,52833,24-12-2011,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,25-12-2011
TODD SUMRALL,ONTARIO,ONTARIO,CONSUMER,Cust_1035,+1-519-555-106,treeves@live.com,Ord_2728,Prod_1,SHP_3739,1199.57,0.06,27,23.7,16.36,0.55,38274,10/6/2011,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,12/6/2011
TODD SUMRALL,ONTARIO,ONTARIO,CONSUMER,Cust_1035,+1-519-555-106,treeves@live.com,Ord_2728,Prod_15,SHP_3739,1225.37,0.08,9,0.98,24.49,0.57,38274,10/6/2011,HIGH,FURNITURE,CHAIRS & CHAIRMATS,REGULAR AIR,12/6/2011
TONY CHAPMAN,NOVA SCOTIA,ATLANTIC,CONSUMER,Cust_271,902-555-0193,ngedmond@live.com,Ord_836,Prod_1,SHP_1145,3401.8,0.09,39,-508.87,19.99,0.79,45059,3/2/2011,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,EXPRESS AIR,5/2/2011
JOHN CASTELL,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1038,+1-519-555-165,itstatus@gmail.com,Ord_2939,Prod_1,SHP_4058,3842.99,0.04,39,-67.68,19.99,0.79,46848,10/11/2009,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,12/11/2009
DARRIN MARTIN,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1043,519-555-0112,henkp@gmail.com,Ord_2906,Prod_1,SHP_4009,112.18,0.07,4,-96.16,35,0.84,33635,12/7/2009,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,13-07-2009
KEN BRENNAN,ONTARIO,ONTARIO,CONSUMER,Cust_1044,519-555-0148,rhialto@mac.com,Ord_2834,Prod_1,SHP_3897,1150.88,0.05,30,-911.56,35,0.8,549,12/7/2012,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,EXPRESS AIR,12/7/2012
MAX JONES,ONTARIO,ONTARIO,HOME OFFICE,Cust_1045,519-555-0126,fluffy@gmail.com,Ord_2841,Prod_1,SHP_3908,371.68,0.03,31,-13.32,5.03,0.59,5697,4/10/2012,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,6/10/2012
MAX JONES,ONTARIO,ONTARIO,HOME OFFICE,Cust_1045,519-555-0126,fluffy@gmail.com,Ord_2835,Prod_1,SHP_3898,583.64,0.08,6,-179.5,19.99,0.79,999,4/9/2010,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,11/9/2010
MAX JONES,ONTARIO,ONTARIO,HOME OFFICE,Cust_1045,519-555-0126,fluffy@gmail.com,Ord_2929,Prod_1,SHP_4047,600.8,0.1,15,43.55,6.22,,44322,12/10/2011,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,14-10-2011
KEN BRENNAN,ONTARIO,ONTARIO,HOME OFFICE,Cust_1046,+1-519-555-178,afifi@gmail.com,Ord_2837,Prod_1,SHP_3901,12586.19,0,33,619.71,99,0.65,1831,1/12/2010,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,DELIVERY TRUCK,2/12/2010
CARLOS DALY,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_105,15817466672,schwaang@live.com,Ord_178,Prod_1,SHP_241,811.13,0.08,2,-517.47,11.37,0.57,28486,26-08-2009,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,27-08-2009
JESSICA MYRICK,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1055,519-555-0160,chance@icloud.com,Ord_2898,Prod_1,SHP_3999,180.36,0.1,32,-111.8,4.69,0.68,28774,1/1/2009,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,2/1/2009
JENNA CAFFEY,ONTARIO,ONTARIO,CONSUMER,Cust_1057,519-555-0165,torgox@sbcglobal.net,Ord_2887,Prod_1,SHP_3982,4182.52,0,42,-785.36,35,,23681,19-05-2012,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,EXPRESS AIR,21-05-2012
JIM SINK,ONTARIO,ONTARIO,CORPORATE,Cust_1062,+1-519-555-139,dunstan@sbcglobal.net,Ord_2921,Prod_1,SHP_4034,4387.24,0.09,47,-286.47,19.99,0.79,39844,1/12/2009,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,2/12/2009
FRED WASSERMAN,ONTARIO,ONTARIO,HOME OFFICE,Cust_1064,519-555-0168,ideguy@att.net,Ord_130,Prod_1,SHP_3971,40.06,0.07,6,-24.44,4.69,0.68,21636,10/8/2009,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,15-08-2009
ROB HABERLIN,BRITISH COLUMBIA,WEST,CONSUMER,Cust_190,+1-709-555-109,tskirvin@gmail.com,Ord_539,Prod_1,SHP_730,224.09,0,17,-27.92,6.27,0.57,22980,1/10/2012,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,2/10/2012
ROB HABERLIN,ONTARIO,ONTARIO,CONSUMER,Cust_1067,519-555-0175,eurohack@optonline.net,Ord_539,Prod_6,SHP_730,56.05,0.06,10,-27.73,5.49,0.38,22980,1/10/2012,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,REGULAR AIR,2/10/2012
SUSAN VITTORINI,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,Cust_107,12367821857,hedwig@verizon.net,Ord_199,Prod_1,SHP_272,456.91,0.04,28,-328.18,17.78,0.59,31684,16-09-2012,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,EXPRESS AIR,18-09-2012
KRISTEN HASTINGS,SASKACHEWAN,PRARIE,CORPORATE,Cust_1326,+1-306-555-111,hachi@gmail.com,Ord_2970,Prod_1,SHP_5273,278.76,0.02,17,-210.09,17.78,0.59,58784,18-01-2009,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,19-01-2009
KRISTEN HASTINGS,SASKACHEWAN,PRARIE,CORPORATE,Cust_1326,+1-306-555-111,hachi@gmail.com,Ord_2970,Prod_9,SHP_5273,141.9,0.02,12,1.46,5.72,0.35,58784,18-01-2009,MEDIUM,OFFICE SUPPLIES,ENVELOPES,REGULAR AIR,19-01-2009
RAYMOND FAIR,ONTARIO,ONTARIO,SMALL BUSINESS,Cust_1096,+1-217-555-109,bolow@yahoo.com,Ord_2983,Prod_1,SHP_4120,501.38,0.03,31,-71.95,8.78,0.57,5639,1/6/2009,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,2/6/2009
HUNTER LOPEZ,ONTARIO,ONTARIO,CONSUMER,Cust_1108,+1-217-555-171,nasor@aol.com,Ord_1918,Prod_1,SHP_4137,260.08,0.1,23,-37.85,4.81,0.58,25666,2/9/2012,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,2/9/2012
HUNTER LOPEZ,NOVA SCOTIA,ATLANTIC,CONSUMER,Cust_678,+1-641-555-144,nighthawk@hotmail.com,Ord_1918,Prod_1,SHP_2630,5072.34,0.06,36,369.46,19.99,0.73,25666,2/9/2012,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,3/9/2012
MICHAEL KENNEDY,ONTARIO,ONTARIO,CORPORATE,Cust_1111,+1-217-555-154,muadip@outlook.com,Ord_3003,Prod_1,SHP_4156,621.44,0.08,43,-130.96,4.53,0.81,43751,27-06-2012,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,29-06-2012
GEORGE ZREBASSA,ONTARIO,ONTARIO,HOME OFFICE,Cust_1114,217-555-0153,barnett@optonline.net,Ord_2031,Prod_1,SHP_4144,3249.09,0.1,44,-1326.29,35,0.83,31392,6/5/2010,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,10/5/2010
DEANRA ENO,ONTARIO,ONTARIO,CORPORATE,Cust_1115,217-555-0161,kaiser@sbcglobal.net,Ord_2996,Prod_1,SHP_4146,1033.93,0,26,63.41,12.9,0.57,33090,5/8/2009,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,6/8/2009
PIERRE WENER,NOVA SCOTIA,ATLANTIC,HOME OFFICE,Cust_763,+1-641-555-127,campware@aol.com,Ord_2039,Prod_1,SHP_2788,2617.13,0,39,368.87,6.88,0.73,38723,20-09-2012,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,22-09-2012
PAUL KNUTSON,ONTARIO,ONTARIO,CORPORATE,Cust_1120,+1-217-555-153,drezet@optonline.net,Ord_3002,Prod_1,SHP_4154,302.94,0.07,20,-30.2,5.8,0.6,41504,28-10-2012,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,30-10-2012
BOBBY ELIAS,QUEBEC,QUEBEC,SMALL BUSINESS,Cust_865,418-555-0139,xtang@aol.com,Ord_2236,Prod_1,SHP_3037,3093.76,0.07,33,-850.71,35,,55202,24-08-2011,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,EXPRESS AIR,26-08-2011
DAVE BROOKS,ONTARIO,ONTARIO,CORPORATE,Cust_1132,+1-217-555-172,bbirth@icloud.com,Ord_3026,Prod_1,SHP_4198,2118.26,0.01,33,554.22,9.71,0.57,42693,4/4/2009,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,6/4/2009
PHILIP FOX,SASKACHEWAN,PRARIE,HOME OFFICE,Cust_1389,+1-306-555-185,fluffy@optonline.net,Ord_3021,Prod_1,SHP_4191,8094.55,0.05,49,2008.71,19.99,0.59,37924,29-11-2009,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,29-11-2009
PHILIP FOX,ONTARIO,ONTARIO,HOME OFFICE,Cust_1134,+1-217-555-174,kmself@hotmail.com,Ord_3021,Prod_13,SHP_4191,352.44,0.09,21,-80.53,8.65,0.57,37924,29-11-2009,HIGH,OFFICE SUPPLIES,PENS & ART SUPPLIES,REGULAR AIR,29-11-2009
PATRICK JONES,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,Cust_1140,506-555-0134,sartak@comcast.net,Ord_3054,Prod_1,SHP_4243,383.81,0.03,32,-21.15,4.81,0.58,12803,25-02-2010,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,27-02-2010
KAREN SEIO,NEW BRUNSWICK,ATLANTIC,CONSUMER,Cust_1144,+1-506-555-142,lstein@yahoo.ca,Ord_3083,Prod_1,SHP_4278,2850.31,0.09,20,569.08,7.07,0.59,29376,11/8/2012,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,13-08-2012
RALPH ARNETT,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,Cust_115,13066398143,valdez@hotmail.com,Ord_316,Prod_1,SHP_422,2232.06,0.03,14,542.16,7.07,0.59,55363,28-12-2010,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,30-12-2010
EMILY PHAN,NEW BRUNSWICK,ATLANTIC,CONSUMER,Cust_1151,506-555-0179,benits@aol.com,Ord_3076,Prod_1,SHP_4270,487.7,0.06,16,-67.54,6.72,0.75,23777,26-11-2012,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,27-11-2012
JOE ELIJAH,MANITOBA,PRARIE,HOME OFFICE,Cust_1156,204-555-0147,jandrese@icloud.com,Ord_3189,Prod_1,SHP_4424,503.75,0,35,16.46,5.5,0.57,49541,16-01-2009,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,17-01-2009
KEN BLACK,MANITOBA,PRARIE,CONSUMER,Cust_1159,+1-204-555-111,claypool@yahoo.ca,Ord_3129,Prod_1,SHP_4342,937.8,0,31,27.12,6.64,0.7,8678,30-09-2012,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,5/10/2012
STEVE CHAPMAN,MANITOBA,PRARIE,CORPORATE,Cust_1162,+1-204-555-147,dvdotnet@yahoo.com,Ord_3127,Prod_1,SHP_4340,1724.82,0.1,32,407.8,5.08,0.59,7107,4/1/2012,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,5/1/2012
MARC CRIER,MANITOBA,PRARIE,CORPORATE,Cust_1163,+1-204-555-157,koudas@mac.com,Ord_3141,Prod_1,SHP_4359,140.82,0.08,15,-43.26,6.5,0.59,19621,7/9/2011,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,EXPRESS AIR,8/9/2011
DEBORAH BRUMFIELD,MANITOBA,PRARIE,CORPORATE,Cust_1165,204-555-0142,cremonini@yahoo.com,Ord_3151,Prod_1,SHP_4374,4152.12,0,34,817.98,19.99,0.59,24966,17-12-2011,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,18-12-2011
JOHN LEE,MANITOBA,PRARIE,CORPORATE,Cust_1168,204-555-0189,jdray@hotmail.com,Ord_3187,Prod_1,SHP_4422,412.86,0.07,29,-104.43,4.53,0.81,48032,26-08-2010,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,27-08-2010
JOHN LEE,MANITOBA,PRARIE,CORPORATE,Cust_1168,204-555-0189,jdray@hotmail.com,Ord_3187,Prod_2,SHP_4422,309.17,0.09,42,-283.31,9.23,0.58,48032,26-08-2010,HIGH,OFFICE SUPPLIES,APPLIANCES,REGULAR AIR,27-08-2010
JOHN LEE,MANITOBA,PRARIE,CORPORATE,Cust_1168,204-555-0189,jdray@hotmail.com,Ord_3178,Prod_1,SHP_4410,261.85,0.03,14,-52.33,9.47,0.59,44002,7/2/2009,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,7/2/2009
JOHN LEE,MANITOBA,PRARIE,CORPORATE,Cust_1168,204-555-0189,jdray@hotmail.com,Ord_3163,Prod_1,SHP_4390,540.33,0.04,43,-59.06,6.27,0.57,32710,16-11-2009,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,17-11-2009
DEBORAH BRUMFIELD,YUKON,YUKON,SMALL BUSINESS,Cust_1557,867-555-0190,jsnover@hotmail.com,Ord_3152,Prod_1,SHP_6373,646.14,0.07,6,-265.62,35,0.82,27363,18-10-2011,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,20-10-2011
CYNTHIA DELANEY,MANITOBA,PRARIE,CORPORATE,Cust_1172,+1-204-555-143,mcsporran@gmail.com,Ord_3192,Prod_1,SHP_4428,1439.96,0.02,41,182.46,8.74,0.61,50054,6/9/2010,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,8/9/2010
CYNTHIA DELANEY,MANITOBA,PRARIE,CORPORATE,Cust_1172,+1-204-555-143,mcsporran@gmail.com,Ord_3192,Prod_17,SHP_4428,5369.46,0,50,1370.26,19.99,0.52,50054,6/9/2010,NOT SPECIFIED,TECHNOLOGY,OFFICE MACHINES,REGULAR AIR,8/9/2010
ED BRAXTON,MANITOBA,PRARIE,HOME OFFICE,Cust_1173,+1-204-555-167,onestab@comcast.net,Ord_3202,Prod_1,SHP_4442,275.01,0,16,-87.11,11.25,0.6,59969,11/1/2012,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,12/1/2012
VALERIE TAKAHITO,MANITOBA,PRARIE,CONSUMER,Cust_1177,204-555-0168,jmorris@verizon.net,Ord_3359,Prod_1,SHP_4658,1011.67,0.04,41,-74.64,8.79,0.66,29058,3/1/2010,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,3/1/2010
VALERIE DOMINGUEZ,MANITOBA,PRARIE,CORPORATE,Cust_1180,204-555-0176,oechslin@gmail.com,Ord_3300,Prod_1,SHP_4578,312.25,0.05,9,15.56,5.1,0.6,19557,30-10-2011,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,30-10-2011
VALERIE DOMINGUEZ,MANITOBA,PRARIE,CORPORATE,Cust_1180,204-555-0176,oechslin@gmail.com,Ord_3339,Prod_1,SHP_4632,257.41,0.09,43,-131.08,4.69,0.68,25601,5/1/2009,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,6/1/2009
TANJA NORVELL,MANITOBA,PRARIE,CONSUMER,Cust_1183,+1-204-555-168,mwandel@me.com,Ord_3284,Prod_1,SHP_4558,550.29,0.03,30,-82.5,9.47,0.59,16225,28-05-2009,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,30-05-2009
TANJA NORVELL,MANITOBA,PRARIE,CONSUMER,Cust_1183,+1-204-555-168,mwandel@me.com,Ord_3210,Prod_1,SHP_4452,494.34,0.05,15,-30.19,6.72,0.75,1253,25-01-2010,CRITICAL,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,25-01-2010
LINDA SOUTHWORTH,MANITOBA,PRARIE,CONSUMER,Cust_1184,+1-204-555-143,dbrobins@comcast.net,Ord_3429,Prod_1,SHP_4754,6069.05,0.05,40,1816.71,7.07,0.59,43137,26-02-2011,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,27-02-2011
LINDA SOUTHWORTH,MANITOBA,PRARIE,CONSUMER,Cust_1184,+1-204-555-143,dbrobins@comcast.net,Ord_3330,Prod_1,SHP_4621,3981.23,0.07,21,294.94,19.99,0.71,24384,26-03-2011,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,28-03-2011
LINDA SOUTHWORTH,MANITOBA,PRARIE,CONSUMER,Cust_1184,+1-204-555-143,dbrobins@comcast.net,Ord_3330,Prod_4,SHP_4621,2458.2425,0.1,20,110.54,8.99,0.58,24384,26-03-2011,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,REGULAR AIR,28-03-2011
LINDA SOUTHWORTH,MANITOBA,PRARIE,CONSUMER,Cust_1184,+1-204-555-143,dbrobins@comcast.net,Ord_3330,Prod_12,SHP_4621,205.11,0.06,44,95.52,0.5,0.36,24384,26-03-2011,MEDIUM,OFFICE SUPPLIES,LABELS,REGULAR AIR,28-03-2011
LINDA SOUTHWORTH,MANITOBA,PRARIE,CONSUMER,Cust_1184,+1-204-555-143,dbrobins@comcast.net,Ord_3251,Prod_1,SHP_4510,178.13,0.04,13,-19.75,5.5,0.57,8998,3/1/2010,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,REGULAR AIR,8/1/2010
